Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
0,0,"['FullObsDQN_FullObsDQN', 'RANDOM_Rand0', 'RANDOM_Rand1', 'RANDOM_Rand2']",SYSTEM,START_EXPERIMENT,,,,,,,,,,
1,0,,SYSTEM,NEW_MATCH,,,,,,,"{'FullObsDQN_FullObsDQN': '', 'RANDOM_Rand0': '', 'RANDOM_Rand1': '', 'RANDOM_Rand2': ''}",,"{'FullObsDQN_FullObsDQN': -1, 'RANDOM_Rand0': -1, 'RANDOM_Rand1': -1, 'RANDOM_Rand2': -1}",
1,0,,SYSTEM,DEAL_CARDS,,,"[[4, 4, 5, 6, 0, 8, 8, 8, 8, 9, 10, 10, 10, 10, 11, 11, 0], [0, 5, 5, 6, 7, 7, 8, 8, 9, 9, 9, 9, 10, 10, 10, 11, 11], [1, 2, 3, 5, 5, 6, 7, 7, 7, 8, 10, 10, 0, 11, 11, 11, 12], [0, 3, 4, 4, 6, 6, 6, 7, 8, 9, 9, 9, 9, 10, 11, 11, 11]]",,,,,,,
1,1,,RANDOM_Rand1,DISCARD,C11;Q1;J0,0.0,"[0, 1, 2, 3, 5, 5, 6, 7, 7, 7, 8, 10, 10, 11, 11, 11, 12]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[np.str_('C11;Q1;J0'), np.str_('C11;Q1;J1'), np.str_('C11;Q2;J0'), np.str_('C11;Q2;J1'), np.str_('C11;Q3;J0'), np.str_('C11;Q3;J1'), np.str_('C11;Q4;J0'), np.str_('C11;Q4;J1'), np.str_('pass')]",,,,
1,1,,RANDOM_Rand2,DISCARD,C3;Q1;J0,0.0,"[0, 3, 4, 4, 6, 6, 6, 7, 8, 9, 9, 9, 9, 10, 11, 11, 11]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[np.str_('C3;Q1;J0'), np.str_('C3;Q2;J0'), np.str_('C4;Q1;J0'), np.str_('C4;Q2;J0'), np.str_('C6;Q1;J0'), np.str_('C6;Q2;J0'), np.str_('C6;Q3;J0'), np.str_('C7;Q1;J0'), np.str_('C8;Q1;J0'), np.str_('C9;Q1;J0'), np.str_('C9;Q2;J0'), np.str_('C9;Q3;J0'), np.str_('C9;Q4;J0'), np.str_('C10;Q1;J0'), np.str_('pass')]",,,,
1,1,,FullObsDQN_FullObsDQN,DISCARD,pass,0.0,"[4, 4, 5, 6, 7, 8, 8, 8, 8, 9, 10, 10, 10, 10, 11, 11, 12]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[np.str_('pass')],,,,
1,1,,RANDOM_Rand0,DISCARD,C2;Q1;J0,0.0,"[0, 5, 5, 6, 7, 7, 8, 8, 9, 9, 9, 9, 10, 10, 10, 11, 11]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[np.str_('C2;Q1;J0'), np.str_('pass')]",,,,
1,1,,RANDOM_Rand1,DISCARD,C1;Q1;J0,0.0,"[0, 0, 2, 3, 5, 5, 6, 7, 7, 7, 8, 10, 10, 11, 11, 11, 12]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[np.str_('C1;Q1;J0'), np.str_('C1;Q1;J1'), np.str_('pass')]",,,,
1,1,,RANDOM_Rand2,DISCARD,pass,0.0,"[0, 3, 4, 4, 6, 6, 6, 7, 8, 9, 9, 9, 9, 10, 11, 11, 11]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[np.str_('pass')],,,,
1,1,,RANDOM_Rand0,DISCARD,pass,0.0,"[0, 5, 5, 6, 7, 7, 8, 8, 9, 9, 9, 9, 10, 10, 10, 11, 11]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[np.str_('pass')],,,,
